,sand,silt,clay,depth
S1,77.5,19.5,3.0,10.4
S2,71.9,24.9,3.2,11.7
S3,50.7,36.1,13.2,12.8
S4,52.2,40.9,6.6,13.0
S5,70.0,26.5,3.5,15.7
S6,66.5,32.2,1.3,16.3
S7,43.1,55.3,1.6,18.0
S8,53.4,36.8,9.8,18.7
S9,15.5,54.4,30.1,20.7
S10,31.7,41.5,26.8,22.1
S11,65.7,27.8,6.5,22.4
S12,70.4,29.0,0.6,24.4
S13,17.4,53.6,29.0,25.8
S14,10.6,69.8,19.6,32.5
S15,38.2,43.1,18.7,33.6
S16,10.8,52.7,36.5,36.8
S17,18.4,50.7,30.9,37.8
S18,4.6,47.4,48.0,36.9
S19,15.6,50.4,34.0,42.2
S20,31.9,45.1,23.0,47.0
S21,9.5,53.5,37.0,47.1
S22,17.1,48.0,34.9,48.4
S23,10.5,55.4,34.1,49.4
S24,4.8,54.7,41.0,49.5
S25,2.6,45.2,52.2,59.2
S26,11.4,52.7,35.9,60.1
S27,6.7,46.9,46.4,61.7
S28,6.9,49.7,43.4,62.4
S29,4.0,44.9,51.1,69.3
S30,7.4,51.6,40.9,73.6
S31,4.8,49.5,45.7,74.4
S32,4.5,48.5,47.0,78.5
S33,6.6,52.1,41.3,82.9
S34,6.7,47.3,45.9,87.7
S35,7.4,45.6,46.9,88.1
S36,6.0,48.9,45.1,90.4
S37,6.3,53.8,39.9,90.6
S38,2.5,48.0,49.5,97.7
S39,2.0,47.8,50.2,103.7
