chart,CaO,Al2O3,SiO2,group,pos,label,symbol
ceramic,0,0,1,1,4,quartz,qtz
ceramic,1,1,2,1,4,anorthite,an
ceramic,1,0,1,1,2,wollastonite,wo
ceramic,0,0,1,2,4,quartz,qtz
ceramic,1,1,2,2,4,anorthite,an
ceramic,0,3,2,2,4,mullite,mul
ceramic,1,0,1,3,2,wollastonite,wo
ceramic,1,1,2,3,4,anorthite,an
ceramic,2,1,1,3,2,gehlenite,geh
ceramic,1,1,2,4,4,anorthite,an
ceramic,0,3,2,4,4,mullite,mul
ceramic,0,1,0,4,4,corundum,crn
CAS,0,0,1,1,4,S,
CAS,1,1,2,1,4,CAS2,
CAS,1,0,1,1,2,CS,
CAS,0,0,1,2,4,S,
CAS,1,1,2,2,4,CAS2,
CAS,0,3,2,2,4,A3S2,
CAS,1,1,2,3,4,CAS2,
CAS,0,3,2,3,4,A3S2,
CAS,0,2,1,3,4,A2S,
CAS,1,1,2,4,4,CAS2,
CAS,0,2,1,4,4,A2S,
CAS,0,1,0,4,4,A,
CAS,1,1,2,5,4,CAS2,
CAS,0,1,0,5,4,A,
CAS,1,6,0,5,1,CA6,
CAS,1,1,2,6,4,CAS2,
CAS,1,6,0,6,1,CA6,
CAS,2,1,1,6,4,C2AS,
CAS,1,1,2,7,4,CAS2,
CAS,2,1,1,7,4,C2AS,
CAS,1,0,1,7,2,CS,
CAS,2,1,1,8,4,C2AS,
CAS,1,0,1,8,2,CS,
CAS,3,0,2,8,2,C3S2,
CAS,2,1,1,9,4,C2AS,
CAS,3,0,2,9,2,C3S2,
CAS,2,0,1,9,2,C2S,
CAS,2,1,1,10,4,C2AS,
CAS,2,0,1,10,2,C2S,
CAS,1,1,0,10,1,CA,
CAS,2,1,1,11,4,C2AS,
CAS,1,1,0,11,1,CA,
CAS,1,2,0,11,1,CA2,
CAS,2,1,1,12,4,C2AS,
CAS,1,2,0,12,1,CA2,
CAS,1,6,0,12,1,CA6,
CAS,2,0,1,13,2,C2S,
CAS,1,1,0,13,1,CA,
CAS,12,7,0,13,1,C12A7,
CAS,2,0,1,14,2,C2S,
CAS,12,7,0,14,1,C12A7,
CAS,3,1,0,14,1,C3A,
CAS,2,0,1,15,2,C2S,
CAS,3,1,0,15,1,C3A,
CAS,3,0,1,15,2,C3S,
CAS,3,1,0,16,1,C3A,
CAS,3,0,1,16,2,C3S,
CAS,1,0,0,16,2,C,
